x un uex
-0.970000 1.000000 1.000000
-0.940000 1.000000 1.000000
-0.910000 1.000000 1.000000
-0.880000 1.000000 1.000000
-0.850000 1.000000 1.000000
-0.820000 1.000000 1.000000
-0.790000 1.000000 1.000000
-0.760000 1.000000 1.000000
-0.730000 1.000000 1.000000
-0.700000 1.000000 1.000000
-0.670000 1.000000 1.000000
-0.640000 1.000000 1.000000
-0.610000 1.000000 1.000000
-0.580000 1.000000 1.000000
-0.550000 1.000000 1.000000
-0.520000 1.000000 1.000000
-0.490000 1.000000 1.000000
-0.460000 1.000000 1.000000
-0.430000 1.000000 1.000000
-0.400000 1.000000 1.000000
-0.370000 1.000000 1.000000
-0.340000 1.000000 1.000000
-0.310000 1.000000 1.000000
-0.280000 1.000000 1.000000
-0.250000 1.000000 1.000000
-0.220000 1.000000 1.000000
-0.190000 1.000000 1.000000
-0.160000 1.000000 1.000000
-0.130000 1.000000 1.000000
-0.100000 1.000000 1.000000
-0.070000 1.000000 1.000000
-0.040000 1.000000 1.000000
-0.010000 1.000000 1.000000
0.020000 1.000000 1.000000
0.050000 1.000000 1.000000
0.080000 1.000000 1.000000
0.110000 1.000000 1.000000
0.140000 1.000000 1.000000
0.170000 0.999999 1.000000
0.200000 0.999997 1.000000
0.230000 0.999986 1.000000
0.260000 0.999947 1.000000
0.290000 0.999819 1.000000
0.320000 0.999459 1.000000
0.350000 0.998552 1.000000
0.380000 0.996499 1.000000
0.410000 0.992287 1.000000
0.440000 0.984410 1.000000
0.470000 0.970925 1.000000
0.500000 0.949779 1.000000
0.530000 0.919411 0.959184
0.560000 0.879471 0.897959
0.590000 0.831175 0.836735
0.620000 0.776902 0.775510
0.650000 0.719205 0.714286
0.680000 0.659964 0.653061
0.710000 0.600181 0.591837
0.740000 0.540251 0.530612
0.770000 0.480290 0.469388
0.800000 0.420324 0.408163
0.830000 0.360358 0.346939
0.860000 0.300391 0.285714
0.890000 0.240426 0.224490
0.920000 0.180477 0.163265
0.950000 0.120733 0.102041
0.980000 0.062833 0.040816
1.010000 0.015422 0.000000
1.040000 0.000526 0.000000
1.070000 0.000000 0.000000
1.100000 0.000000 0.000000
1.130000 0.000000 0.000000
1.160000 0.000000 0.000000
1.190000 0.000000 0.000000
1.220000 0.000000 0.000000
1.250000 0.000000 0.000000
1.280000 0.000000 0.000000
1.310000 0.000000 0.000000
1.340000 0.000000 0.000000
1.370000 0.000000 0.000000
1.400000 0.000000 0.000000
1.430000 0.000000 0.000000
1.460000 0.000000 0.000000
1.490000 0.000000 0.000000
1.520000 0.000000 0.000000
1.550000 0.000000 0.000000
1.580000 0.000000 0.000000
1.610000 0.000000 0.000000
1.640000 0.000000 0.000000
1.670000 0.000000 0.000000
1.700000 0.000000 0.000000
1.730000 0.000000 0.000000
1.760000 0.000000 0.000000
1.790000 0.000000 0.000000
1.820000 0.000000 0.000000
1.850000 0.000000 0.000000
1.880000 0.000000 0.000000
1.910000 0.000000 0.000000
1.940000 0.000000 0.000000
1.970000 0.000000 0.000000
2.000000 0.000000 0.000000
