x un
0.020000 141.421356
0.040000 117.157288
0.060000 107.106781
0.080000 102.943725
0.100000 101.219331
0.120000 100.505064
0.140000 100.209205
0.160000 100.086658
0.180000 100.035901
0.200000 100.014884
0.220000 100.006198
0.240000 100.002646
0.260000 100.001273
0.280000 100.000859
0.300000 100.000781
0.320000 100.000747
0.340000 100.000714
0.360000 100.000680
0.380000 100.000647
0.400000 100.000614
0.420000 100.000580
0.440000 100.000546
0.460000 100.000512
0.480000 100.000478
0.500000 100.000444
0.520000 100.000409
0.540000 100.000373
0.560000 100.000338
0.580000 100.000301
0.600000 100.000264
0.620000 100.000226
0.640000 100.000185
0.660000 100.000142
0.680000 100.000092
0.700000 100.000015
0.720000 99.999852
0.740000 99.999576
0.760000 99.998949
0.780000 99.997452
0.800000 99.993843
0.820000 99.985133
0.840000 99.964106
0.860000 99.913345
0.880000 99.790796
0.900000 99.494937
0.920000 98.780669
0.940000 97.056275
0.960000 92.893219
0.980000 82.842712
1.000000 58.578644
